,0,1,gname
29,0.13691866530730595,3.937901210156861e-119,Sry
115,0.5344755229746759,0.0,Rora
171,0.5453304427784547,0.0,Ikzf2
284,0.40014312482185954,0.0,Cxcr4
290,0.11933852579760015,9.117040769405964e-91,Gata3
333,-3.513950383020571e-05,0.9952704057364345,Ighg1
425,0.4701276686010603,0.0,Ighg2c
